"block_id","Row_drug","Col_drug","HSA_score","SampleID"
277,"Trametinib","Duvelisib",14.566,"CLL3"
278,"Trametinib","Ibrutinib",6.935,"CLL3"
279,"Trametinib","MK-2206",12.65,"CLL3"
280,"Trametinib","Selumetinib",4.267,"CLL3"
281,"Venetoclax","Duvelisib",11.846,"CLL3"
282,"Venetoclax","Ibrutinib",8.042,"CLL3"
283,"Venetoclax","MK-2206",9.453,"CLL3"
284,"Venetoclax","Selumetinib",9.553,"CLL3"
285,"Vismodegib","Duvelisib",-0.827,"CLL3"
286,"Vismodegib","Ibrutinib",-5.318,"CLL3"
287,"Vismodegib","MK-2206",-2.144,"CLL3"
288,"Vismodegib","Selumetinib",2.962,"CLL3"
289,"AZD8055","Duvelisib",8.603,"CLL4"
290,"AZD8055","Ibrutinib",6.108,"CLL4"
291,"AZD8055","MK-2206",6.852,"CLL4"
292,"AZD8055","Selumetinib",2.07,"CLL4"
293,"Birinapant","Duvelisib",-8.86,"CLL4"
294,"Birinapant","Ibrutinib",-3.405,"CLL4"
295,"Birinapant","MK-2206",-4.46,"CLL4"
296,"Birinapant","Selumetinib",-6.832,"CLL4"
297,"BX-912","Duvelisib",3.472,"CLL4"
298,"BX-912","Ibrutinib",2.428,"CLL4"
299,"BX-912","MK-2206",4.775,"CLL4"
300,"BX-912","Selumetinib",2.627,"CLL4"
301,"CHIR-99021","Duvelisib",1.981,"CLL4"
302,"CHIR-99021","Ibrutinib",1.472,"CLL4"
303,"CHIR-99021","MK-2206",5.307,"CLL4"
304,"CHIR-99021","Selumetinib",-0.279,"CLL4"
305,"Dasatinib","Duvelisib",10.068,"CLL4"
306,"Dasatinib","Ibrutinib",5.168,"CLL4"
307,"Dasatinib","MK-2206",8.764,"CLL4"
308,"Dasatinib","Selumetinib",6.628,"CLL4"
309,"Duvelisib","Duvelisib",8.097,"CLL4"
310,"Duvelisib","Ibrutinib",5.007,"CLL4"
311,"Duvelisib","MK-2206",10.706,"CLL4"
312,"Duvelisib","Selumetinib",3.138,"CLL4"
313,"Fludarabine","Duvelisib",0.92,"CLL4"
314,"Fludarabine","Ibrutinib",1.636,"CLL4"
315,"Fludarabine","MK-2206",2.61,"CLL4"
316,"Fludarabine","Selumetinib",-4.388,"CLL4"
317,"GDC-0152","Duvelisib",-17.638,"CLL4"
318,"GDC-0152","Ibrutinib",-9.164,"CLL4"
319,"GDC-0152","MK-2206",-14.622,"CLL4"
320,"GDC-0152","Selumetinib",-14.296,"CLL4"
321,"Gefitinib","Duvelisib",-3.455,"CLL4"
322,"Gefitinib","Ibrutinib",0.557,"CLL4"
323,"Gefitinib","MK-2206",-1.013,"CLL4"
324,"Gefitinib","Selumetinib",-1.846,"CLL4"
325,"GSK429286A","Duvelisib",14.095,"CLL4"
326,"GSK429286A","Ibrutinib",13.668,"CLL4"
327,"GSK429286A","MK-2206",12.785,"CLL4"
328,"GSK429286A","Selumetinib",6.14,"CLL4"
329,"Ibrutinib","Duvelisib",7.842,"CLL4"
330,"Ibrutinib","Ibrutinib",4.214,"CLL4"
331,"Ibrutinib","MK-2206",10.049,"CLL4"
332,"Ibrutinib","Selumetinib",7.786,"CLL4"
333,"KX2-391","Duvelisib",11.194,"CLL4"
334,"KX2-391","Ibrutinib",4.217,"CLL4"
335,"KX2-391","MK-2206",8.48,"CLL4"
336,"KX2-391","Selumetinib",2.406,"CLL4"
337,"Lenalidomide","Duvelisib",-10.344,"CLL4"
338,"Lenalidomide","Ibrutinib",-4.631,"CLL4"
339,"Lenalidomide","MK-2206",-5.1,"CLL4"
340,"Lenalidomide","Selumetinib",-2.369,"CLL4"
341,"MK-2206","Duvelisib",8.363,"CLL4"
342,"MK-2206","Ibrutinib",9.065,"CLL4"
343,"MK-2206","MK-2206",6.295,"CLL4"
344,"MK-2206","Selumetinib",3.711,"CLL4"
345,"Onalespib","Duvelisib",6.242,"CLL4"
346,"Onalespib","Ibrutinib",6.025,"CLL4"
347,"Onalespib","MK-2206",8.159,"CLL4"
348,"Onalespib","Selumetinib",2.258,"CLL4"
349,"PRT062607","Duvelisib",6.819,"CLL4"
350,"PRT062607","Ibrutinib",3.188,"CLL4"
351,"PRT062607","MK-2206",8.064,"CLL4"
352,"PRT062607","Selumetinib",10.108,"CLL4"
353,"Quizartinib","Duvelisib",0.21,"CLL4"
354,"Quizartinib","Ibrutinib",-1.367,"CLL4"
355,"Quizartinib","MK-2206",1.729,"CLL4"
356,"Quizartinib","Selumetinib",0.58,"CLL4"
357,"Ruxolitinib","Duvelisib",1.136,"CLL4"
358,"Ruxolitinib","Ibrutinib",1.008,"CLL4"
359,"Ruxolitinib","MK-2206",0.093,"CLL4"
360,"Ruxolitinib","Selumetinib",-2.768,"CLL4"
361,"Selinexor","Duvelisib",10.377,"CLL4"
362,"Selinexor","Ibrutinib",13.194,"CLL4"
363,"Selinexor","MK-2206",8.052,"CLL4"
364,"Selinexor","Selumetinib",1.382,"CLL4"
365,"Selumetinib","Duvelisib",7.194,"CLL4"
366,"Selumetinib","Ibrutinib",1.143,"CLL4"
367,"Selumetinib","MK-2206",7.61,"CLL4"
368,"Selumetinib","Selumetinib",-0.305,"CLL4"
369,"Tipifarnib","Duvelisib",9.726,"CLL4"
370,"Tipifarnib","Ibrutinib",7.082,"CLL4"
371,"Tipifarnib","MK-2206",6.544,"CLL4"
372,"Tipifarnib","Selumetinib",1.75,"CLL4"
373,"Trametinib","Duvelisib",16.876,"CLL4"
374,"Trametinib","Ibrutinib",15.768,"CLL4"
375,"Trametinib","MK-2206",13.22,"CLL4"
376,"Trametinib","Selumetinib",8.656,"CLL4"
377,"Venetoclax","Duvelisib",14.467,"CLL4"
378,"Venetoclax","Ibrutinib",11.404,"CLL4"
379,"Venetoclax","MK-2206",7.941,"CLL4"
380,"Venetoclax","Selumetinib",2.857,"CLL4"
381,"Vismodegib","Duvelisib",-0.092,"CLL4"
382,"Vismodegib","Ibrutinib",-1.39,"CLL4"
383,"Vismodegib","MK-2206",1.263,"CLL4"
384,"Vismodegib","Selumetinib",-2.416,"CLL4"
385,"AZD8055","Duvelisib",-11.455,"CLL5"
386,"AZD8055","Ibrutinib",-8.687,"CLL5"
387,"AZD8055","MK-2206",-8.332,"CLL5"
388,"AZD8055","Selumetinib",-3.671,"CLL5"
389,"Birinapant","Duvelisib",2.124,"CLL5"
390,"Birinapant","Ibrutinib",13.015,"CLL5"
391,"Birinapant","MK-2206",9.034,"CLL5"
392,"Birinapant","Selumetinib",9.236,"CLL5"
393,"BX-912","Duvelisib",24.228,"CLL5"
394,"BX-912","Ibrutinib",29.226,"CLL5"
395,"BX-912","MK-2206",2.652,"CLL5"
396,"BX-912","Selumetinib",28.057,"CLL5"
397,"CHIR-99021","Duvelisib",11.354,"CLL5"
398,"CHIR-99021","Ibrutinib",20.309,"CLL5"
399,"CHIR-99021","MK-2206",5.819,"CLL5"
400,"CHIR-99021","Selumetinib",21.021,"CLL5"
401,"Dasatinib","Duvelisib",28.089,"CLL5"
402,"Dasatinib","Ibrutinib",33.02,"CLL5"
403,"Dasatinib","MK-2206",5.445,"CLL5"
404,"Dasatinib","Selumetinib",33.034,"CLL5"
405,"Duvelisib","Duvelisib",9.288,"CLL5"
406,"Duvelisib","Ibrutinib",11.98,"CLL5"
407,"Duvelisib","MK-2206",0.217,"CLL5"
408,"Duvelisib","Selumetinib",11.659,"CLL5"
409,"Fludarabine","Duvelisib",-4.18,"CLL5"
410,"Fludarabine","Ibrutinib",-0.051,"CLL5"
411,"Fludarabine","MK-2206",3.142,"CLL5"
412,"Fludarabine","Selumetinib",2.534,"CLL5"
413,"GDC-0152","Duvelisib",15.445,"CLL5"
414,"GDC-0152","Ibrutinib",23.401,"CLL5"
415,"GDC-0152","MK-2206",2.232,"CLL5"
416,"GDC-0152","Selumetinib",20.096,"CLL5"
417,"Gefitinib","Duvelisib",-12.379,"CLL5"
418,"Gefitinib","Ibrutinib",-5.96,"CLL5"
419,"Gefitinib","MK-2206",-0.778,"CLL5"
420,"Gefitinib","Selumetinib",0.237,"CLL5"
421,"GSK429286A","Duvelisib",-0.486,"CLL5"
422,"GSK429286A","Ibrutinib",1,"CLL5"
423,"GSK429286A","MK-2206",2.307,"CLL5"
424,"GSK429286A","Selumetinib",4.566,"CLL5"
